id ;provider  ;identifier                                       ;credential                        ;credential_extra_1                        ;credential_extra_2                         ;created_at          ;updated_at
1  ;MOZILLA   ;Team-oriented                                    ;Checking Account online RSS       ;web-readiness Cheese Georgia              ;Dynamic Heights                            ;2020-02-11T11:45:43 ;2020-02-11T04:00:56
2  ;GOOGLE    ;concept Keyboard                                 ;Steel                             ;generate SQL                              ;Rustic                                     ;2020-02-11T13:23:59 ;2020-02-11T01:45:08
3  ;GOOGLE    ;Interactions                                     ;payment Hryvnia FTP               ;Industrial Credit Card Account            ;Checking Account                           ;2020-02-11T14:38:47 ;2020-02-10T21:03:42
4  ;MOZILLA   ;Common                                           ;mint green                        ;Brand Web application                     ;deposit e-markets invoice                  ;2020-02-11T04:58:06 ;2020-02-10T16:54:45
5  ;MICROSOFT ;Credit Card Account Brunei Darussalam Fantastic  ;Personal Loan Account             ;Bedfordshire                              ;haptic Chips Holy See (Vatican City State) ;2020-02-11T05:20:13 ;2020-02-11T05:09:50
6  ;MICROSOFT ;Pants innovate                                   ;invoice functionalities           ;real-time Web                             ;Guinea auxiliary Keyboard                  ;2020-02-11T06:59:33 ;2020-02-11T00:45:53
7  ;MOZILLA   ;Codes specifically reserved for testing purposes ;Cotton programming                ;Berkshire                                 ;cross-platform                             ;2020-02-10T21:24:28 ;2020-02-11T07:34:08
8  ;GOOGLE    ;Personal Loan Account Rubber                     ;Configuration Virtual deposit     ;De-engineered Horizontal Computers        ;Jewelery                                   ;2020-02-11T13:29:28 ;2020-02-10T22:10:42
9  ;GOOGLE    ;Nebraska Soap Organized                          ;invoice Granite                   ;Functionality Credit Card Account payment ;generate value-added monitor               ;2020-02-11T03:39:53 ;2020-02-10T21:58:14
10 ;GOOGLE    ;deliver scale                                    ;Rustic Cotton Salad Angola Gloves ;Handcrafted Concrete Bacon Accountability ;Concrete                                   ;2020-02-11T10:48:47 ;2020-02-11T09:17:54
